Symbol,Date,Close,Volume
CLY,20151201,0.012,108000
CM8,20151201,0.27,1356941
CMA,20151201,1.99,115814
CMI,20151201,1.47,669
CMP,20151201,0.49,2111052
CMW,20151201,1.04,3466125
CMY,20151201,0.008,1499003
CND,20151201,0.18,10000
CNI,20151201,0.95,13861
CNU,20151201,2.83,41437
CNW,20151201,0.041,23529937
CNX,20151201,0.015,464674
COE,20151201,0.18,168358
COF,20151201,0.405,681563
COH,20151201,96.18,217700
COI,20151201,0.099,45051
COM,20151201,0.02,985000
COO,20151201,0.13,15000
CPU,20151201,11.64,1901320
CQR,20151201,4.16,1020408
CSL,20151201,100.71,1341648
CSR,20151201,3.06,4580184
CSS,20151201,0.049,1593850
CSV,20151201,1.71,1638061
CTD,20151201,11.54,305247
CTM,20151201,0.006,1667
CTN,20151201,0.94,279123
CTO,20151201,0.017,876959
CTP,20151201,0.175,455818
CTX,20151201,34.42,1138658
CUE,20151201,0.064,35152
CUL,20151201,0.002,426548
CUP,20151201,0.9,116150
CUV,20151201,2.8,2501
CUX,20151201,0.008,470000
CV1,20151201,0.38,175652
CVC,20151201,1.45,2804
CVE,20151201,0.007,6141411
CVN,20151201,0.105,1229035
CVO,20151201,2.26,920463
CVT,20151201,0.28,850618
CVW,20151201,0.95,2934
CWC,20151201,0.69,12575
CWE,20151201,0.048,1499277
CWN,20151201,11.84,1612240
CWP,20151201,4.15,26447
CXO,20151201,0.016,90051
CXU,20151201,0.135,15278
CXX,20151201,0.22,67500
CXZ,20151201,0.22,37680
CYA,20151201,0.825,43254
CYC,20151201,0.54,9327
CYG,20151201,1.25,4225
CYL,20151201,0.3,500
CYP,20151201,0.355,175197
CYU,20151201,0.025,162002
CZI,20151201,0.025,428630
CZL,20151201,0.037,1764229
CZZ,20151201,21.95,41637
DAF,20151201,0.005,368078
DAU,20151201,0.017,80000
DCC,20151201,0.135,35164
DCG,20151201,0.91,510753
DCN,20151201,0.79,1609678
DDR,20151201,1.785,68193
DDT,20151201,0.024,276180
DFM,20151201,1.34,3286
DGH,20151201,0.69,2000
DGO,20151201,0.16,1400
DGX,20151201,0.016,873197
DJW,20151201,4.25,88622
DKM,20151201,0.115,27888
DLS,20151201,0.63,4059806
DLX,20151201,6.35,1496602
DMA,20151201,0.024,230000
DMP,20151201,50.81,375724
DNA,20151201,0.775,1073767
DNK,20151201,0.285,293811
DOW,20151201,3.66,1905252
DRA,20151201,0.16,79000
DRM,20151201,0.495,453116
DRX,20151201,0.007,6000
DSH,20151201,0.35,28412064
DSX,20151201,0.095,1909224
DTI,20151201,0.25,58200
DTL,20151201,1.08,56509
DTM,20151201,0.01,1000000
DTR,20151201,0.01,150000
DUB,20151201,0.9,1720144
DUE,20151201,2.37,10566962
DUI,20151201,3.34,122702
DVA,20151201,0.5,53477
DVI,20151201,0.027,1335935
DVN,20151201,0.75,1265940
DWS,20151201,1.23,187909
DXB,20151201,0.005,7143
DXS,20151201,7.95,3017286
DYE,20151201,0.275,219825
DYL,20151201,0.009,225833
E88,20151201,0.088,365852
EAI,20151201,0.99,63590
EAS,20151201,0.93,14951
EAX,20151201,1.1,23928
EBO,20151201,13.2,550
EBT,20151201,3.68,3830
ECG,20151201,0.155,221500
ECO,20151201,0.013,1000000
ECX,20151201,3.39,643624
EDE,20151201,0.063,752143
EEG,20151201,0.032,480670
EER,20151201,0.005,5000
EEU,20151201,14.27,335
EFE,20151201,0.013,16183
EGG,20151201,0.84,333
EGH,20151201,0.61,367849
EGI,20151201,1.065,86800
EGY,20151201,0.012,50000
EHE,20151201,7.8,310720
EHL,20151201,0.045,1418129
ELD,20151201,4.35,223744
ELK,20151201,0.069,21000
ELM,20151201,0.22,280000
ELX,20151201,0.545,199406
EMG,20151201,0.015,945000
EMH,20151201,0.195,60000
EML,20151201,0.88,66579
EMR,20151201,0.021,1574238
EMU,20151201,0.08,175000
EMX,20151201,0.033,15900
ENC,20151201,0.34,13977
ENN,20151201,1.74,81700
ENT,20151201,0.035,279000
EOR,20151201,0.009,850000
EOS,20151201,1.35,5317
EPA,20151201,0.003,683
EPD,20151201,0.88,229357
EPM,20151201,0.006,102048
EPW,20151201,1.53,450464
EPX,20151201,1.62,73286
EQT,20151201,21.05,6394
EQX,20151201,0.28,80837
ERA,20151201,0.345,236427
ERM,20151201,0.038,135489
ERR,20151201,0.7,33200
ESI,20151201,0.023,2276092
ESM,20151201,0.031,458000
ESR,20151201,0.028,116000
ESV,20151201,0.105,201500
ETE,20151201,0.01,127000
ETF,20151201,20.39,13360
EVE,20151201,0.009,2200375
EVM,20151201,0.11,156150
EVN,20151201,1.185,9204533
EVR,20151201,0.625,423940
EWC,20151201,0.305,61672
EXG,20151201,0.06,454606
EXM,20151201,0.007,2525714
EXR,20151201,0.001,23000000
EXU,20151201,0.025,235500
EZL,20151201,0.855,174745
FAN,20151201,2.35,13116
FAR,20151201,0.072,13095120
FBR,20151201,0.028,31451784
FBU,20151201,6.6,797868
FCG,20151201,0.25,26000
FCN,20151201,0.024,2296100
FCR,20151201,0.005,513000
FET,20151201,2.18,331580
FFG,20151201,0.041,70389
FFT,20151201,0.98,10300
FGF,20151201,0.021,500000
FGG,20151201,1.17,421086
FGX,20151201,1.14,1028954
FID,20151201,2.65,927
FIE,20151201,0.067,1286000
FLK,20151201,0.975,10160
FLN,20151201,1.73,334753
FLT,20151201,36.87,315479
FMG,20151201,1.99,16035197
FML,20151201,0.325,1508
FMS,20151201,0.013,235805
FND,20151201,0.12,50000
FNP,20151201,3.12,74184
FPH,20151201,7.86,423610
FRE,20151201,0.002,1070001
FRM,20151201,0.835,65315
FRX,20151201,0.195,86000
FSA,20151201,1.185,24765
FSF,20151201,5,14029
FSI,20151201,1.43,38284
FUN,20151201,0.028,29669
FWD,20151201,1.17,191380
FXJ,20151201,0.915,7120741
FXL,20151201,2.85,1563387
FZR,20151201,0.19,59270
GAP,20151201,0.305,154483
GBE,20151201,0.023,46690
GBG,20151201,0.026,1006706
GBI,20151201,0.22,9000
GBT,20151201,4.18,257239
GBZ,20151201,0.028,52000
GC1,20151201,1,58449
GCS,20151201,0.46,17089
GCY,20151201,0.09,255993
GDF,20151201,0.955,430157
GDI,20151201,0.885,193848
GDX,20151201,19.25,24500
GDY,20151201,0.03,108000
GED,20151201,0.007,32000
GEG,20151201,1.255,184723
GEM,20151201,3.64,1599602
GER,20151201,0.062,597245
GFY,20151201,1.89,18300
GGG,20151201,0.027,1010844
GHC,20151201,1.78,62122
GID,20151201,0.027,200000
GJT,20151201,1.89,231957
GLB,20151201,1.35,2371
GLF,20151201,0.01,45004
GLH,20151201,0.23,108168
GLL,20151201,0.105,92000
GLN,20151201,0.009,1750761
GMA,20151201,2.6,7358058
GMD,20151201,0.022,50000
GME,20151201,0.03,17878
GMF,20151201,2.1,39002
GMG,20151201,6.3,3452809
GML,20151201,0.025,140000
GMM,20151201,0.155,2123177
GMR,20151201,0.003,370000
GNC,20151201,8.15,800403
GNE,20151201,1.79,59706
GNG,20151201,0.9,15423
GNX,20151201,0.15,75000
GOE,20151201,0.028,74931
GOLD,20151201,140.68,3829
GOR,20151201,0.37,555905
GOW,20151201,3.06,1805
GOZ,20151201,3.04,487993
GPT,20151201,4.74,5634422
GRB,20151201,0.076,196822
GRF,20151201,1.41,10638
GRR,20151201,0.12,309404
GRY,20151201,0.052,608488
GSC,20151201,0.011,1333282
GSE,20151201,0.086,2000
GSS,20151201,0.63,76773
GTE,20151201,0.015,15124
GTG,20151201,0.032,2737586
GTK,20151201,2.08,8438
GTR,20151201,0.013,10000
GTY,20151201,2.85,2198124
GUD,20151201,7.97,491567
GVF,20151201,1.035,109553
GWA,20151201,1.905,2975218
GXL,20151201,5.9,740815
GXY,20151201,0.086,2410958
GZL,20151201,2.74,10785
HAR,20151201,0.004,50000
HAV,20151201,0.24,6000
HAW,20151201,0.036,114068
