Symbol,Date,Close,Volume
DCG,20151203,0.885,739397
DCN,20151203,0.76,158456
DDR,20151203,1.76,162632
DDT,20151203,0.025,1517029
DEG,20151203,0.001,32166666
DFM,20151203,1.32,3000
DGX,20151203,0.016,147584
DJW,20151203,4.29,41081
DKM,20151203,0.11,55599
DLS,20151203,0.63,2367152
DLX,20151203,6.35,1183850
DM1,20151203,0.095,32000
DMA,20151203,0.026,289167
DMP,20151203,50.45,265376
DNA,20151203,0.76,438144
DNK,20151203,0.29,340659
DOW,20151203,3.52,2397848
DRA,20151203,0.16,46250
DRM,20151203,0.49,87072
DSH,20151203,0.4,10523465
DSX,20151203,0.09,94444
DTI,20151203,0.245,44480
DTL,20151203,1.06,24032
DTR,20151203,0.012,2640054
DUB,20151203,0.79,1271833
DUE,20151203,2.36,11283162
DUI,20151203,3.37,48642
DVA,20151203,0.5,115000
DVI,20151203,0.029,2235000
DVL,20151203,0.4,55300
DVN,20151203,0.755,1172463
DWS,20151203,1.17,384505
DXS,20151203,7.79,2528891
DYE,20151203,0.29,260506
E88,20151203,0.1,952775
EAI,20151203,1,11900
EAL,20151203,0.1,134000
EBO,20151203,13.5,690
EBT,20151203,3.7,12361
ECG,20151203,0.13,95241
ECO,20151203,0.013,200000
ECX,20151203,3.38,565002
EDE,20151203,0.06,2015561
EEU,20151203,14.24,441
EGH,20151203,0.59,470456
EGI,20151203,1.08,6997
EHE,20151203,7.66,692866
EHL,20151203,0.044,589185
ELD,20151203,4.42,343240
ELM,20151203,0.2,171000
ELT,20151203,0.009,7916
ELX,20151203,0.585,173208
EMF,20151203,1.91,6250
EMG,20151203,0.015,1139820
EMH,20151203,0.195,160000
EML,20151203,0.87,270982
EMR,20151203,0.021,297011
EMU,20151203,0.08,8000
EMX,20151203,0.037,1390000
ENN,20151203,1.74,72462
ENT,20151203,0.033,35000
ENZ,20151203,0.32,600
EOS,20151203,1.38,45550
EPD,20151203,0.865,81788
EPM,20151203,0.006,982048
EPW,20151203,1.53,998543
EPX,20151203,1.615,65554
EQX,20151203,0.275,130000
ERA,20151203,0.34,204174
ERM,20151203,0.038,68111
ERR,20151203,0.735,114325
ESI,20151203,0.023,2658483
ESM,20151203,0.025,300000
ESR,20151203,0.031,2209251
ESV,20151203,0.11,50000
ETE,20151203,0.01,25000
EVE,20151203,0.009,1800000
EVM,20151203,0.11,634045
EVN,20151203,1.195,9010786
EVR,20151203,0.61,296550
EWC,20151203,0.315,247074
EXG,20151203,0.058,5000
EXM,20151203,0.007,1835853
EXU,20151203,0.03,866531
EZA,20151203,0.12,15000
EZL,20151203,0.845,13500
FAN,20151203,2.3,7090
FAR,20151203,0.077,4740451
FBR,20151203,0.029,2861416
FBU,20151203,6.61,923489
FCG,20151203,0.24,17000
FCN,20151203,0.031,78158517
FCR,20151203,0.005,1892000
FEL,20151203,0.035,665000
FET,20151203,2.2,127739
FFG,20151203,0.045,152770
FFT,20151203,1,62128
FGF,20151203,0.019,900000
FGG,20151203,1.18,163100
FGX,20151203,1.15,227715
FID,20151203,2.7,20885
FIE,20151203,0.075,1642858
FLK,20151203,0.985,65109
FLN,20151203,1.79,140564
FLT,20151203,36.21,335873
FMG,20151203,1.92,13797041
FML,20151203,0.32,20001
FMS,20151203,0.013,2120000
FND,20151203,0.12,50000
FNP,20151203,3.26,159830
FPH,20151203,7.83,502801
FRI,20151203,1.06,33498
FRM,20151203,0.92,107845
FRX,20151203,0.195,69095
FSA,20151203,1.16,3143
FSF,20151203,5.2,129305
FUN,20151203,0.03,24569
FWD,20151203,1.175,70831
FXJ,20151203,0.91,8106632
FXL,20151203,2.87,1188654
GAP,20151203,0.295,7000
GBG,20151203,0.025,963565
GBI,20151203,0.25,60000
GBT,20151203,4.1,86605
GBX,20151203,0.004,1993153
GC1,20151203,0.97,17559
GCS,20151203,0.5,337062
GCY,20151203,0.095,93021
GDF,20151203,0.97,93147
GDI,20151203,0.88,384349
GDX,20151203,18.92,13120
GDY,20151203,0.03,353471
GED,20151203,0.007,73684
GEG,20151203,1.23,383273
GEM,20151203,3.55,1141173
GER,20151203,0.059,66500
GFY,20151203,1.83,72323
GGE,20151203,0.008,823333
GGG,20151203,0.027,2945470
GHC,20151203,1.8,84121
GID,20151203,0.027,510996
GJT,20151203,1.9,71310
GLN,20151203,0.008,1
GMA,20151203,2.56,6313641
GMD,20151203,0.023,1000000
GMF,20151203,2.1,50495
GMG,20151203,6.19,2202375
GMM,20151203,0.17,2359597
GMR,20151203,0.003,1700000
GMY,20151203,0.9,16000
GNC,20151203,8.2,598459
GNE,20151203,1.805,539
GNG,20151203,0.89,19200
GNX,20151203,0.14,50000
GOE,20151203,0.035,118130
GOLD,20151203,137.36,14207
GOR,20151203,0.38,1704645
GOW,20151203,3.16,5320
GOZ,20151203,3.04,287731
GPH,20151203,0.06,255500
GPR,20151203,0.04,552674
GPT,20151203,4.7,3930417
GRA,20151203,0.25,104210
GRB,20151203,0.073,149774
GRF,20151203,1.38,31261
GRR,20151203,0.12,325000
GRY,20151203,0.049,688597
GSC,20151203,0.01,1823995
GTG,20151203,0.03,1104482
GTK,20151203,2.25,125101
GTY,20151203,2.96,1642315
GUD,20151203,8.15,518948
GUL,20151203,0.012,369684
GVF,20151203,1.02,70002
GWA,20151203,1.895,946278
GWR,20151203,0.04,110000
GXL,20151203,5.37,1302390
GXY,20151203,0.085,905980
GZL,20151203,2.95,41391
HAR,20151203,0.005,50000
HAS,20151203,0.068,191000
HAW,20151203,0.035,14968
HAZ,20151203,0.002,565025
HCH,20151203,0.13,50000
HEG,20151203,0.003,525000
HFA,20151203,2.95,312405
HFR,20151203,1.46,739593
HGG,20151203,6.39,2546461
HGO,20151203,0.175,73017
HHL,20151203,2.65,18000
HHV,20151203,1.18,160876
HHY,20151203,0.099,55418
HIG,20151203,0.067,57143
HIL,20151203,0.37,168702
HIT,20151203,0.295,29501
HJB,20151203,0.015,1150000
HLO,20151203,0.4,20000
HLX,20151203,0.039,58333
HMI,20151203,0.013,200000
HMX,20151203,0.049,100000
HNR,20151203,0.003,264123
HPI,20151203,2.59,64016
HRR,20151203,0.09,181500
HSN,20151203,2.52,1201189
HSO,20151203,2.51,17842264
HTA,20151203,0.081,13593
HUB,20151203,3.45,144508
HUO,20151203,4.05,45089
HVN,20151203,4.02,3864431
HXG,20151203,0.064,687034
HZN,20151203,0.098,1755458
HZR,20151203,0.23,1944017
IAA,20151203,60.87,5542
IAF,20151203,105.6,4178
IAG,20151203,5.75,12603693
IAU,20151203,0.125,206256
IBC,20151203,0.51,55000
IBG,20151203,0.041,305000
IBK,20151203,42.2,1757
ICG,20151203,0.006,735762
ICN,20151203,0.032,370842
ICQ,20151203,0.965,121839
ICS,20151203,1.75,2268
ICU,20151203,0.2,25000
IDR,20151203,2.11,118898
IDT,20151203,0.375,414319
IDX,20151203,1.78,26656
IDZ,20151203,0.37,81000
IEL,20151203,3.55,760380
IEM,20151203,46.4,14233
IEU,20151203,56.85,40800
IFL,20151203,9.66,885305
IFM,20151203,0.685,271026
IFN,20151203,0.44,937078
IGB,20151203,102.83,250
IGO,20151203,2.4,3219402
IGS,20151203,0.002,784140
IHD,20151203,13.53,69303
IHK,20151203,27.76,350
IIL,20151203,0.215,8158
IJH,20151203,199.54,920
IJP,20151203,17.08,18266
IJR,20151203,158.84,325
IKO,20151203,71.16,298
ILB,20151203,114.55,1675
ILC,20151203,22.77,222703
ILU,20151203,5.55,2061314
IMA,20151203,0.082,100000
IMC,20151203,0.48,2458
IMD,20151203,0.215,1376004
IMF,20151203,1.49,264659
IMU,20151203,0.01,1030000
INA,20151203,2.7,383742
IND,20151203,0.012,290000
INL,20151203,0.007,368050
IOF,20151203,3.87,1174450
IOO,20151203,102.92,12921
IOZ,20151203,22.02,43985
