Date,Close,Volume,SMA
10/04/2014,3.99,1773563,4.020333333333333
11/04/2014,3.92,1222207,4.011666666666667
14/04/2014,3.84,1153982,3.9976666666666665
15/04/2014,3.85,1532037,3.986666666666666
16/04/2014,3.87,1486124,3.973666666666666
17/04/2014,3.9,1037684,3.960333333333333
22/04/2014,3.93,1625775,3.9463333333333335
23/04/2014,3.91,1357413,3.9336666666666664
24/04/2014,3.93,1616431,3.9219999999999997
28/04/2014,3.97,1609083,3.9129999999999994
29/04/2014,3.88,1474470,3.8976666666666664
30/04/2014,3.91,1546985,3.9029999999999996
1/05/2014,3.82,1374526,3.9043333333333328
2/05/2014,3.87,1584785,3.908333333333333
5/05/2014,3.93,2201405,3.9120000000000004
6/05/2014,3.89,643710,3.9143333333333334
7/05/2014,3.81,1357615,3.9110000000000005
8/05/2014,3.88,918172,3.912666666666667
9/05/2014,3.82,591355,3.9110000000000005
12/05/2014,3.82,796655,3.9086666666666665
13/05/2014,3.88,725294,3.906999999999999
14/05/2014,3.84,770889,3.9029999999999996
15/05/2014,3.85,699417,3.897666666666666
16/05/2014,3.81,793862,3.891999999999999
19/05/2014,3.72,1625639,3.8829999999999996
20/05/2014,3.75,1026919,3.875333333333333
21/05/2014,3.53,2705076,3.863333333333333
22/05/2014,3.53,6506381,3.8506666666666662
23/05/2014,3.47,2047338,3.835999999999999
26/05/2014,3.43,2084170,3.818333333333333
27/05/2014,3.42,2755243,3.799333333333333
28/05/2014,3.43,2161885,3.783
29/05/2014,3.43,2415603,3.769333333333334
30/05/2014,3.37,4699857,3.7533333333333343
2/06/2014,3.35,3739217,3.736000000000001
3/06/2014,3.3,4535167,3.716000000000001
4/06/2014,3.25,3499412,3.6933333333333342
5/06/2014,3.27,2540394,3.6720000000000015
6/06/2014,3.34,3655793,3.6523333333333343
10/06/2014,3.33,2486185,3.6310000000000002
11/06/2014,3.31,1852451,3.6120000000000005
12/06/2014,3.27,1702024,3.590666666666668
13/06/2014,3.18,4319705,3.5693333333333337
16/06/2014,3.22,2287408,3.5476666666666667
17/06/2014,3.26,2670927,3.5253333333333337
18/06/2014,3.31,3260825,3.5060000000000002
19/06/2014,3.41,5942407,3.4926666666666666
20/06/2014,3.38,5049464,3.476
23/06/2014,3.4,3626501,3.462
24/06/2014,3.43,3285958,3.4490000000000003
25/06/2014,3.43,2398656,3.4340000000000006
26/06/2014,3.49,1965414,3.422333333333334
27/06/2014,3.5,3625884,3.4106666666666667
30/06/2014,3.45,3285506,3.3986666666666676
1/07/2014,3.56,3347306,3.393333333333334
2/07/2014,3.58,3678261,3.387666666666667
3/07/2014,3.62,1133037,3.3906666666666676
