Date,Symbol,Open,High,Low,Close,Volume,extra,Moving Avg 30,Moving Avg 90
2014-05-12,ABC,3.82,3.85,3.78,3.82,796655,,3.90866666667,3.92188888889
2014-05-13,ABC,3.84,3.88,3.82,3.88,725294,,3.907,3.92422222222
2014-05-14,ABC,3.88,3.88,3.82,3.84,770889,,3.903,3.92588888889
2014-05-15,ABC,3.82,3.855,3.82,3.85,699417,,3.89766666667,3.92811111111
2014-05-16,ABC,3.82,3.85,3.8,3.81,793862,,3.892,3.92988888889
2014-05-19,ABC,3.81,3.82,3.67,3.72,1625639,,3.883,3.92977777778
2014-05-20,ABC,3.72,3.79,3.72,3.75,1026919,,3.87533333333,3.92988888889
2014-05-21,ABC,3.73,3.73,3.53,3.53,2705076,,3.86333333333,3.92755555556
2014-05-22,ABC,3.5,3.57,3.37,3.53,6506381,,3.85066666667,3.925
2014-05-23,ABC,3.52,3.525,3.47,3.47,2047338,,3.836,3.92222222222
2014-05-26,ABC,3.45,3.47,3.41,3.43,2084170,,3.81833333333,3.92
2014-05-27,ABC,3.43,3.5,3.405,3.42,2755243,,3.79933333333,3.91644444444
2014-05-28,ABC,3.43,3.48,3.41,3.43,2161885,,3.783,3.91188888889
2014-05-29,ABC,3.44,3.5,3.42,3.43,2415603,,3.76933333333,3.90833333333
2014-05-30,ABC,3.47,3.47,3.37,3.37,4699857,,3.75333333333,3.90377777778
2014-06-02,ABC,3.35,3.4,3.31,3.35,3739217,,3.736,3.89866666667
2014-06-03,ABC,3.35,3.35,3.29,3.3,4535167,,3.716,3.89366666667
2014-06-04,ABC,3.3,3.33,3.22,3.25,3499412,,3.69333333333,3.889
2014-06-05,ABC,3.25,3.29,3.22,3.27,2540394,,3.672,3.88444444444
2014-06-06,ABC,3.28,3.34,3.22,3.34,3655793,,3.65233333333,3.88133333333
2014-06-10,ABC,3.38,3.39,3.29,3.33,2486185,,3.631,3.87722222222
2014-06-11,ABC,3.33,3.35,3.3,3.31,1852451,,3.612,3.87288888889
2014-06-12,ABC,3.31,3.32,3.26,3.27,1702024,,3.59066666667,3.86722222222
2014-06-13,ABC,3.25,3.25,3.16,3.18,4319705,,3.56933333333,3.86033333333
2014-06-16,ABC,3.18,3.25,3.15,3.22,2287408,,3.54766666667,3.85422222222
2014-06-17,ABC,3.23,3.26,3.19,3.26,2670927,,3.52533333333,3.84877777778
2014-06-18,ABC,3.23,3.32,3.21,3.31,3260825,,3.506,3.84344444444
2014-06-19,ABC,3.37,3.41,3.32,3.41,5942407,,3.49266666667,3.83833333333
2014-06-20,ABC,3.4,3.42,3.36,3.38,5049464,,3.476,3.83211111111
2014-06-23,ABC,3.4,3.42,3.35,3.4,3626501,,3.462,3.82577777778
2014-06-24,ABC,3.4,3.45,3.36,3.43,3285958,,3.449,3.81888888889
2014-06-25,ABC,3.41,3.46,3.37,3.43,2398656,,3.434,3.81266666667
2014-06-26,ABC,3.45,3.49,3.4,3.49,1965414,,3.42233333333,3.80633333333
2014-06-27,ABC,3.5,3.515,3.44,3.5,3625884,,3.41066666667,3.80022222222
2014-06-30,ABC,3.51,3.515,3.42,3.45,3285506,,3.39866666667,3.79444444444
2014-07-01,ABC,3.48,3.59,3.44,3.56,3347306,,3.39333333333,3.78877777778
2014-07-02,ABC,3.58,3.62,3.56,3.58,3678261,,3.38766666667,3.78222222222
2014-07-03,ABC,3.58,3.62,3.55,3.62,1133037,,3.39066666667,3.77466666667
2014-07-04,ABC,3.62,3.73,3.605,3.72,2444512,,3.397,3.76822222222
2014-07-07,ABC,3.7,3.75,3.68,3.69,2189970,,3.40433333333,3.76188888889
2014-07-08,ABC,3.69,3.69,3.625,3.69,1736058,,3.413,3.75477777778
2014-07-09,ABC,3.64,3.66,3.55,3.64,2686400,,3.42033333333,3.74666666667
2014-07-10,ABC,3.63,3.66,3.6,3.62,1421045,,3.42666666667,3.74044444444
2014-07-11,ABC,3.59,3.68,3.59,3.62,1471500,,3.433,3.73333333333
2014-07-14,ABC,3.62,3.64,3.565,3.6,1694859,,3.44066666667,3.72688888889
2014-07-15,ABC,3.61,3.62,3.57,3.58,1338635,,3.44833333333,3.71933333333
2014-07-16,ABC,3.59,3.6,3.57,3.58,1525172,,3.45766666667,3.71133333333
2014-07-17,ABC,3.61,3.66,3.58,3.65,2699258,,3.471,3.70355555556
2014-07-18,ABC,3.61,3.63,3.595,3.63,890143,,3.483,3.69622222222
2014-07-21,ABC,3.62,3.65,3.6,3.6,926898,,3.49166666667,3.68866666667
2014-07-22,ABC,3.62,3.63,3.6,3.62,2039041,,3.50133333333,3.68177777778
2014-07-23,ABC,3.61,3.63,3.58,3.58,2011789,,3.51033333333,3.67333333333
2014-07-24,ABC,3.59,3.6,3.575,3.59,1364230,,3.521,3.67155555556
2014-07-25,ABC,3.58,3.62,3.58,3.61,817954,,3.53533333333,3.66966666667
2014-07-28,ABC,3.61,3.645,3.58,3.61,987233,,3.54833333333,3.66811111111
2014-07-29,ABC,3.61,3.63,3.54,3.59,1290278,,3.55933333333,3.66555555556
2014-07-30,ABC,3.58,3.68,3.58,3.67,1201254,,3.57133333333,3.66388888889
2014-07-31,ABC,3.67,3.7,3.65,3.66,1072741,,3.57966666667,3.66111111111
