Symbol, Date, Open, High, Low, Close, Volume
MZI,20140102,0.012,0.012,0.011,0.011,350000
NAB,20140102,34.85,35,34.65,34.83,1355937
NAN,20140102,0.84,0.845,0.84,0.845,24832
NBL,20140102,0.6,0.6,0.6,0.6,2000
NCC,20140102,1.1,1.1,1.09,1.09,2913
NCK,20140102,2.64,2.64,2.59,2.64,6292
NCM,20140102,7.85,8.46,7.82,8.45,4630873
NCR,20140102,0.014,0.015,0.012,0.014,3319846
NDO,20140102,0.036,0.036,0.035,0.036,865000
NEA,20140102,0.55,0.59,0.55,0.585,1457067
NEC,20140102,1.97,1.985,1.935,1.975,258574
NEN,20140102,0.265,0.325,0.265,0.315,9660095
NEU,20140102,0.115,0.115,0.105,0.105,1835367
NFE,20140102,0.225,0.245,0.225,0.225,7368
NGE,20140102,0.018,0.018,0.016,0.016,1334498
NGF,20140102,0.135,0.135,0.135,0.135,2632
NHC,20140102,3.38,3.4,3.33,3.38,75312
NHF,20140102,2.72,2.73,2.66,2.7,180509
NKP,20140102,0.089,0.089,0.084,0.085,547100
NMI,20140102,0.043,0.044,0.034,0.044,4286917
NMS,20140102,0.047,0.047,0.047,0.047,24000
NNW,20140102,0.37,0.38,0.36,0.38,290033
NOD,20140102,0.065,0.065,0.065,0.065,103189
NOE,20140102,0.175,0.175,0.175,0.175,18487
NPX,20140102,3.1,3.13,3.1,3.13,3943
NRT,20140102,0.2,0.205,0.195,0.195,218841
NSE,20140102,0.12,0.122,0.12,0.12,375455
NSP,20140102,0.074,0.075,0.074,0.075,120789
NSR,20140102,1.03,1.03,1.02,1.02,458315
NST,20140102,0.79,0.83,0.785,0.82,2764894
NTC,20140102,0.335,0.36,0.335,0.36,424650
NTM,20140102,0.022,0.022,0.022,0.022,15478
NTU,20140102,0.2,0.2,0.19,0.19,15000
NUF,20140102,4.44,4.44,4.37,4.4,182324
NVT,20140102,6.45,6.48,6.31,6.36,419080
NWE,20140102,0.012,0.012,0.012,0.012,190000
NWH,20140102,1.38,1.395,1.34,1.39,1378330
NWS,20140102,19.97,20.29,19.97,20.1,52107
NWT,20140102,0.45,0.475,0.45,0.455,704035
NXM,20140102,0.046,0.046,0.046,0.046,100000
NXS,20140102,0.07,0.07,0.068,0.068,463627
NXT,20140102,2.2,2.26,2.19,2.23,142873
OBJ,20140102,0.033,0.034,0.032,0.033,2083986
OBL,20140102,0.019,0.019,0.018,0.018,1661203
OEL,20140102,0.105,0.105,0.1,0.105,766428
OEX,20140102,0.059,0.06,0.054,0.055,6328611
OFX,20140102,2.9,2.91,2.77,2.88,69163
OGC,20140102,1.65,1.75,1.65,1.72,1389146
OGH,20140102,0.047,0.048,0.042,0.048,150000
OGX,20140102,0.13,0.13,0.13,0.13,29000
OGY,20140102,0.021,0.022,0.021,0.022,160000
OKN,20140102,1.6,1.655,1.6,1.64,84757
OKU,20140102,0.005,0.005,0.005,0.005,300000
OMH,20140102,0.395,0.395,0.395,0.395,5323
ONC,20140102,0.28,0.28,0.28,0.28,50000
OPG,20140102,0.045,0.045,0.045,0.045,324253
ORA,20140102,1.16,1.205,1.16,1.18,11281533
ORE,20140102,2.48,2.51,2.465,2.49,134736
ORG,20140102,14.18,14.24,14.04,14.06,760332
ORI,20140102,24.05,24.22,23.93,24.07,400400
ORL,20140102,4.41,4.5,4.39,4.4,78421
ORN,20140102,0.063,0.063,0.063,0.063,28350
OSH,20140102,8.19,8.24,8.14,8.17,1027569
OSL,20140102,0.13,0.155,0.13,0.15,2145532
OSP,20140102,0.7,0.7,0.68,0.7,11657
